id,age_rating_PEGI
920210,7
1811260,3
1449850,7
1361210,NA
1604030,12
1245620,NA
1332010,12
1446780,12
1142710,16
1599340,18
534380,18
1938090,18
975370,NA
1462040,16
1817070,16
1593500,18
1692250,3
1687950,16
648800,NA
1313140,NA
529340,12
1286680,16
1904540,NA
1583230,16
1621690,NA
1253920,NA
1657630,NA
1703340,NA
1824220,18
1608070,16
1255630,16
1817190,16
1237320,7
1044720,NA
1708520,3
1475810,12
962130,12
1818750,12
2208920,18
1544020,18
368260,12
1361510,NA
1029690,NA
1846380,12
261550,16
824550,12
1919590,3
1611910,18
1498570,NA
1496790,16
1716740,18
1272080,18
2050650,18
1774580,12
1364780,12
1888160,12
1282100,18
949230,3
990080,12
1086940,18
2195250,3
1326470,NA
1868140,NA
1260320,7
668580,18
1693980,18
671860,NA
1304930,NA
1669000,16
1971870,18
1448440,16
2252570,3
2073850,NA
2399830,16
954850,NA
1971650,12
1676840,NA
2344520,18
1888930,18
1433140,NA
1562430,NA
2369390,18
1627720,16
1527950,NA
1337520,NA
1938010,12
2440510,3
1268750,NA
1501750,18
1677280,18
2108330,3
2322560,NA
1997040,7
1548850,NA
2186680,NA
1940340,12
2338770,3
1144200,NA
1817230,12
1171690,12
2878980,3
2054970,18
2358720,16
2669320,3
1790600,12
553850,18
2694490,NA
1363080,NA
1643320,18
2183900,NA
1623730,NA
2933620,18
2074920,12
899770,NA
1145350,NA
2215430,18
2479810,NA
2300320,3
1203620,NA
2429640,16
881020,12
1778820,16
1845910,18
2767030,NA
1575940,NA
2881650,NA
2072450,18
1928980,NA
2567870,NA
2420110,16
1604030,12
1601580,NA
2322010,18
526870,NA
2677660,16
2321470,NA
2701660,12
1672500,7
1934680,NA
1326470,NA
2515020,18
2552430,12
2406770,NA
1371980,NA
2537590,3
2161700,16
2139460,NA
2688950,3
2124490,18
2679460,16
